,ObservationID,Date_Time,Site_ID,NOx,NO2,NO,PM10,O3,Temperature,ObjectId,ObjectId2,NVPM10,VPM10,NVPM2_5,PM2_5,VPM2_5,CO,RH,Pressure,SO2
520832,520832,2015-01-01 00:00:00,463.0,,,,,,,,514193,,,,,,,,,
520826,520826,2015-01-01 00:00:00,375.0,41.0,24.5,11.0,,,,,352550,,,,,,,,,
520827,520827,2015-01-01 00:00:00,215.0,23.75,19.5,2.75,,,,,854561,,,,,,,,,
520831,520831,2015-01-01 00:00:00,270.0,41.75,22.75,12.25,,,,,514191,,,,,,,,,
520829,520829,2015-01-01 00:00:00,452.0,11.3315601348877,10.0393495559692,0.842760026454926,28.1000003814697,53.1521415710449,,,1041709,24.1,4.0,19.1,24.3999996185303,5.3,,,,
520830,520830,2015-01-01 00:00:00,206.0,328.0,97.5,150.25,,,,,630431,,,,,,,,,
520828,520828,2015-01-01 00:00:00,203.0,21.75,14.0,5.0,,,,,854559,,,,,,,,,
520825,520825,2015-01-01 01:00:00,452.0,15.1648502349854,12.7429895401001,1.57949995994568,22.7000007629395,50.2417488098145,,,1378080,18.9,3.8,11.1,14.6999998092651,3.6,,,,
520824,520824,2015-01-01 01:00:00,215.0,25.0,20.25,3.0,,,,,352547,,,,,,,,,
520823,520823,2015-01-01 01:00:00,270.0,28.5,13.5,9.5,,,,,352548,,,,,,,,,
520822,520822,2015-01-01 01:00:00,463.0,,,,,,,,352549,,,,,,,,,
520821,520821,2015-01-01 01:00:00,203.0,17.25,11.0,4.25,,,,,240087,,,,,,,,,
520820,520820,2015-01-01 01:00:00,375.0,49.5,27.0,14.5,,,,,1378078,,,,,,,,,
520819,520819,2015-01-01 01:00:00,206.0,272.0,85.25,122.0,,,,,854557,,,,,,,,,
520812,520812,2015-01-01 02:00:00,463.0,,,,,,,,1378076,,,,,,,,,
520813,520813,2015-01-01 02:00:00,270.0,42.75,18.75,15.5,,,,,1041705,,,,,,,,,
520814,520814,2015-01-01 02:00:00,203.0,19.75,13.25,4.25,,,,,151923,,,,,,,,,
520818,520818,2015-01-01 02:00:00,375.0,66.25,31.75,22.75,,,,,1041707,,,,,,,,,
520816,520816,2015-01-01 02:00:00,452.0,19.3721904754639,16.9504909515381,1.57939004898071,22.2999992370605,46.9488410949707,,,240085,19.8,2.5,12.5,16.0,3.5,,,,
520817,520817,2015-01-01 02:00:00,215.0,27.5,22.0,3.75,,,,,854555,,,,,,,,,
520815,520815,2015-01-01 02:00:00,206.0,272.75,79.0,126.25,,,,,240083,,,,,,,,,
520806,520806,2015-01-01 03:00:00,375.0,75.5,37.5,24.5,,,,,630425,,,,,,,,,
520805,520805,2015-01-01 03:00:00,270.0,49.5,24.75,16.25,,,,,1378072,,,,,,,,,
520807,520807,2015-01-01 03:00:00,463.0,,,,,,,,1378074,,,,,,,,,
520811,520811,2015-01-01 03:00:00,206.0,277.25,80.0,128.25,,,,,352546,,,,,,,,,
520809,520809,2015-01-01 03:00:00,203.0,22.25,14.25,5.0,,,,,854553,,,,,,,,,
520810,520810,2015-01-01 03:00:00,215.0,23.0,19.0,2.75,,,,,630422,,,,,,,,,
520808,520808,2015-01-01 03:00:00,452.0,16.7477607727051,13.9622097015381,1.81668996810913,25.5,51.4890594482422,,,630428,22.1,3.4,11.7,15.5,3.8,,,,
520804,520804,2015-01-01 04:00:00,375.0,75.75,37.75,24.5,,,,,352545,,,,,,,,,
520803,520803,2015-01-01 04:00:00,463.0,,,,,,,,151922,,,,,,,,,
520802,520802,2015-01-01 04:00:00,452.0,18.3729095458984,12.6808300018311,3.71228003501892,21.7999992370605,53.9836883544922,,,1041703,18.1,3.7,9.6,13.3999996185303,3.8,,,,
520801,520801,2015-01-01 04:00:00,270.0,40.0,21.5,12.0,,,,,514189,,,,,,,,,
520800,520800,2015-01-01 04:00:00,203.0,14.75,10.75,3.0,,,,,352542,,,,,,,,,
520799,520799,2015-01-01 04:00:00,215.0,18.0,15.5,1.5,,,,,352544,,,,,,,,,
520798,520798,2015-01-01 04:00:00,206.0,204.0,67.25,89.0,,,,,352543,,,,,,,,,
520791,520791,2015-01-01 05:00:00,215.0,13.25,12.25,0.5,,,,,854551,,,,,,,,,
520792,520792,2015-01-01 05:00:00,375.0,43.25,23.25,13.0,,,,,240079,,,,,,,,,
520793,520793,2015-01-01 05:00:00,463.0,,,,,,,,240081,,,,,,,,,
520797,520797,2015-01-01 05:00:00,270.0,40.0,17.75,14.5,,,,,1041701,,,,,,,,,
520795,520795,2015-01-01 05:00:00,206.0,187.25,66.0,78.75,,,,,151921,,,,,,,,,
520796,520796,2015-01-01 05:00:00,203.0,12.75,9.5,2.25,,,,,151920,,,,,,,,,
520794,520794,2015-01-01 05:00:00,452.0,14.9978303909302,9.91104984283447,3.31750988960266,20.0,57.077018737793,,,352541,15.3,4.7,8.3,11.8000001907349,3.5,,,,
520790,520790,2015-01-01 06:00:00,215.0,15.5,12.75,1.5,,,,,240075,,,,,,,,,
520789,520789,2015-01-01 06:00:00,203.0,10.75,7.75,1.75,,,,,630416,,,,,,,,,
520788,520788,2015-01-01 06:00:00,206.0,116.5,46.5,45.75,,,,,240073,,,,,,,,,
520787,520787,2015-01-01 06:00:00,452.0,11.7484903335571,8.47859001159668,2.13257002830505,15.1999998092651,58.9729385375977,,,240077,11.4,3.8,5.4,7.5,2.1,,,,
520786,520786,2015-01-01 06:00:00,375.0,46.25,25.75,13.25,,,,,1378070,,,,,,,,,
520785,520785,2015-01-01 06:00:00,463.0,,,,,,,,630419,,,,,,,,,
520784,520784,2015-01-01 06:00:00,270.0,22.5,13.5,6.0,,,,,514187,,,,,,,,,
520777,520777,2015-01-01 07:00:00,463.0,,,,,,,,514185,,,,,,,,,
520779,520779,2015-01-01 07:00:00,270.0,15.5,9.25,4.0,,,,,352540,,,,,,,,,
520778,520778,2015-01-01 07:00:00,215.0,23.25,17.75,3.75,,,,,514183,,,,,,,,,
520781,520781,2015-01-01 07:00:00,375.0,27.5,18.25,6.0,,,,,630410,,,,,,,,,
520782,520782,2015-01-01 07:00:00,452.0,10.2486095428467,7.46353006362915,1.8163800239563,12.1000003814697,61.2181015014648,,,630413,10.2,1.9,5.4,7.40000009536743,2.0,,,,
520783,520783,2015-01-01 07:00:00,206.0,112.0,44.5,44.0,,,,,240071,,,,,,,,,
520780,520780,2015-01-01 07:00:00,203.0,10.75,7.75,2.0,,,,,1378068,,,,,,,,,
520770,520770,2015-01-01 08:00:00,215.0,21.25,16.75,3.25,,,,,854549,,,,,,,,,
520772,520772,2015-01-01 08:00:00,270.0,34.75,17.5,11.0,,,,,514179,,,,,,,,,
520771,520771,2015-01-01 08:00:00,375.0,37.0,21.0,10.5,,,,,151919,,,,,,,,,
520774,520774,2015-01-01 08:00:00,203.0,8.5,6.5,1.5,,,,,854547,,,,,,,,,
520775,520775,2015-01-01 08:00:00,463.0,,,,,,,,514181,,,,,,,,,
520773,520773,2015-01-01 08:00:00,452.0,10.7482500076294,7.23593997955322,2.2906699180603,14.1999998092651,59.1226081848145,,,1041699,12.2,2.0,6.0,8.30000019073486,2.3,,,,
520776,520776,2015-01-01 08:00:00,206.0,66.0,31.75,22.5,,,,,1378066,,,,,,,,,
520763,520763,2015-01-01 09:00:00,270.0,51.25,38.0,8.5,,,,,854545,,,,,,,,,
520769,520769,2015-01-01 09:00:00,203.0,10.0,7.25,2.0,,,,,151918,,,,,,,,,
520768,520768,2015-01-01 09:00:00,463.0,,,,,,,,352539,,,,,,,,,
520767,520767,2015-01-01 09:00:00,452.0,10.623459815979,7.35404014587402,2.13226008415222,16.7000007629395,57.775520324707,,,1041697,12.4,4.3,6.6,10.1000003814697,3.5,,,,
520766,520766,2015-01-01 09:00:00,375.0,41.75,26.75,9.5,,,,,1041695,,,,,,,,,
520765,520765,2015-01-01 09:00:00,206.0,70.75,31.0,26.25,,,,,240069,,,,,,,,,
520764,520764,2015-01-01 09:00:00,215.0,20.75,16.5,3.0,,,,,514177,,,,,,,,,
520757,520757,2015-01-01 10:00:00,270.0,37.25,21.5,10.25,,,,,1041693,,,,,,,,,
520756,520756,2015-01-01 10:00:00,215.0,19.25,15.75,2.5,,,,,854543,,,,,,,,,
520758,520758,2015-01-01 10:00:00,206.0,100.0,39.25,39.5,,,,,151917,,,,,,,,,
520762,520762,2015-01-01 10:00:00,203.0,11.0,7.75,2.25,,,,,1378064,,,,,,,,,
520760,520760,2015-01-01 10:00:00,452.0,13.8732795715332,10.1190395355225,2.44845008850098,12.1999998092651,55.6301383972168,,,240067,9.1,3.1,5.5,9.19999980926514,3.7,,,,
520761,520761,2015-01-01 10:00:00,463.0,,,,,,,,630407,,,,,,,,,
520759,520759,2015-01-01 10:00:00,375.0,47.0,29.75,11.25,,,,,240065,,,,,,,,,
520755,520755,2015-01-01 11:00:00,270.0,64.75,28.5,23.75,,,,,1378060,,,,,,,,,
520754,520754,2015-01-01 11:00:00,463.0,,,,,,,,1378062,,,,,,,,,
520753,520753,2015-01-01 11:00:00,203.0,13.5,9.75,2.5,,,,,1041689,,,,,,,,,
520752,520752,2015-01-01 11:00:00,375.0,62.25,35.25,17.5,,,,,854541,,,,,,,,,
520751,520751,2015-01-01 11:00:00,452.0,14.9973497390747,11.1216697692871,2.52765011787415,13.3999996185303,56.3286285400391,,,352538,7.7,5.7,4.8,10.1999998092651,5.4,,,,
520750,520750,2015-01-01 11:00:00,206.0,110.25,42.25,44.25,,,,,151916,,,,,,,,,
520749,520749,2015-01-01 11:00:00,215.0,24.75,19.5,3.75,,,,,1041691,,,,,,,,,
520742,520742,2015-01-01 12:00:00,206.0,140.5,49.5,59.25,,,,,151915,,,,,,,,,
520743,520743,2015-01-01 12:00:00,203.0,23.0,15.25,5.0,,,,,1378056,,,,,,,,,
